rho,w1,w2,mean,sigma,efficient_upper_branch
0.0,-0.5,1.5,0.099,0.335043,True
0.0,-0.25,1.25,0.0845,0.276882,True
0.0,0.0,1.0,0.07,0.220454,True
0.0,0.25,0.75,0.0555,0.167522,True
0.0,0.5,0.5,0.041,0.122695,True
0.0,0.75,0.25,0.0265,0.097834,True
0.0,1.0,0.0,0.012,0.107778,False
0.0,1.25,-0.25,-0.0025,0.145559,False
