rho,w1,w2,mean,sigma,efficient_upper_branch
0.5,-0.5,1.5,0.099,0.307301,True
0.5,-0.25,1.25,0.0845,0.263132,True
0.5,0.0,1.0,0.07,0.220454,True
0.5,0.25,0.75,0.0555,0.180329,True
0.5,0.5,0.5,0.041,0.144893,True
0.5,0.75,0.25,0.0265,0.118434,True
0.5,1.0,0.0,0.012,0.107778,True
0.5,1.25,-0.25,-0.0025,0.117314,False
